?subject	?label
<http://purl.obolibrary.org/obo/FOODON_03311634>	"kale greens canned"@en
<http://purl.obolibrary.org/obo/FOODON_03411916>	"requiem shark family as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03311266>	"stripetail rockfish (raw)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_443792>	"Lotella rhacina"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_15674>	"2,3-dihydroxybutanedioic acid"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03306322>	"apple jelly (mint-flavored, mint leaves added)"@en
<http://purl.obolibrary.org/obo/FOODON_00002195>	"redfish perch food product"@en
<http://purl.obolibrary.org/obo/FOODON_03308405>	"fish fillet (breaded, precooked)"@en
<http://purl.obolibrary.org/obo/FOODON_03411046>	"california mussel as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03312036>	"sandwich, various types with cheese"@en
<http://purl.obolibrary.org/obo/FOODON_03400791>	"fresh or processed egg (eurofir)"@en
<http://www.ebi.ac.uk/ancestro/ancestro_0543>	"Nigerien"@en
<http://purl.obolibrary.org/obo/FOODON_03414210>	"small cranberry plant"@en
<http://purl.obolibrary.org/obo/FOODON_03301615>	"sardine (canned)"@en
<http://purl.obolibrary.org/obo/FOODON_03310040>	"lupine seed meal (food product)"@en
<http://purl.obolibrary.org/obo/CHEBI_22390>	"alpha-D-glucoside"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03420293>	"fruit core (anatomical part)"@en
<http://purl.obolibrary.org/obo/FOODON_03316773>	"buttermilk chocolate"@en
<http://purl.obolibrary.org/obo/FOODON_03304365>	"confectioner's sugar with dextrose (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03510034>	"reduced energy food"@en
<http://purl.obolibrary.org/obo/FOODON_03490182>	"aluminum container"@en
<http://purl.obolibrary.org/obo/FOODON_03303013>	"turkey pot pie (frozen)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_102976>	"Euphausia pacifica"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_205567>	"Solanum muricatum"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_117924>	"Centrophoridae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/PATO_0002300>	"increased quality"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03312035>	"bread product"@en
<http://purl.obolibrary.org/obo/FOODON_03308408>	"abalone (canned)"@en
<http://purl.obolibrary.org/obo/FOODON_03301345>	"gefilte fish"@en
<http://purl.obolibrary.org/obo/FOODON_03302836>	"chocolate-flavored topping (sweetened with sorbitol)"@en
<http://purl.obolibrary.org/obo/FOODON_03311045>	"nonfat dry milk reconstituted"@en
<http://purl.obolibrary.org/obo/FOODON_03310895>	"salami (smoked)"@en
<http://purl.obolibrary.org/obo/FOODON_03411184>	"temperate bass families as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03530197>	"fat content 31-45%"@en
<http://purl.obolibrary.org/obo/FOODON_03301514>	"cheese (unpasteurized)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_183652>	"Peprilus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03303449>	"rice italian-style canned"@en
<http://purl.obolibrary.org/obo/FOODON_03413144>	"magnesium trisilicate as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03311809>	"sausage crumbles with salami flavoring frozen"@en
<http://purl.obolibrary.org/obo/FOODON_03412667>	"blue rockfish as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03305300>	"fruit juice diluted noncarbonated"@en
<http://purl.obolibrary.org/obo/FOODON_03309292>	"inconnu (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03317582>	"sage derby cheese"@en
<http://purl.obolibrary.org/obo/FOODON_00001150>	"cucurbit fruit food product"@en
<http://purl.obolibrary.org/obo/FOODON_03311418>	"soft candy"@en
<http://purl.obolibrary.org/obo/FOODON_03412158>	"feather cockscomb plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03303126>	"pineapple (immature, raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03311472>	"mitsumame (jelly cube)"@en
<http://purl.obolibrary.org/obo/FOODON_03301673>	"shrimp (whole or parts)"@en
<http://purl.obolibrary.org/obo/FOODON_03315121>	"egg product (hard, cooked, cylindrical, possessing egg white with inner core of yolk)"@en
<http://purl.obolibrary.org/obo/FOODON_03316243>	"spread, low fat"@en
<http://purl.obolibrary.org/obo/FOODON_03306880>	"duck (processed)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_26468>	"Loganiaceae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_8007>	"Esociformes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_00001326>	"pla-som"@en
<http://purl.obolibrary.org/obo/FOODON_03400756>	"055  dried fruits (df) (ccpr)"@en
<http://purl.obolibrary.org/obo/FOODON_03303186>	"blackberry juice (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03316247>	"ice, edible, water-based"@en
<http://purl.obolibrary.org/obo/CHEBI_51082>	"nitrate salt"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03414492>	"plains pricklypear plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03310597>	"onion flake (dried)"@en
<http://purl.obolibrary.org/obo/FOODON_03413522>	"mackerel shark as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_38851>	"Gentiana lutea"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03413691>	"cape hope squid as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03510160>	"label or labeling claim (deprecated)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_7848>	"Lamna"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_22063>	"Monimiaceae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_3511>	"Quercus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_360519>	"Metanephrops thomsoni"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/GAZ_00002478>	"Lebanon"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03306772>	"cream pie made with synthetic topping or filling"@en
<http://purl.obolibrary.org/obo/FOODON_03301832>	"popcorn (unpopped)"@en
<http://purl.obolibrary.org/obo/FOODON_03306168>	"fruit juice drink (diluted)"@en
<http://purl.obolibrary.org/obo/FOODON_03307487>	"skim milk (calcium-reduced)"@en
<http://purl.obolibrary.org/obo/FOODON_03307680>	"coffee (instant, dried dairy product added)"@en
<http://purl.obolibrary.org/obo/FOODON_03413929>	"pomatoschistus as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03310969>	"pork shoulder (cooked, cured)"@en
<http://purl.obolibrary.org/obo/FOODON_03304856>	"japanese black tea (dry)"@en
<http://purl.obolibrary.org/obo/FOODON_03315900>	"goat's milk skimmed"@en
<http://purl.obolibrary.org/obo/FOODON_03301469>	"bouillon cube"@en
<http://purl.obolibrary.org/obo/FOODON_03411356>	"allspice plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03413696>	"northern shortfin squid as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03311084>	"soft drink mix, unsweetened, powdered"@en
<http://purl.obolibrary.org/obo/FOODON_03530252>	"external fat trimmed to 1/8 inch"@en
<http://purl.obolibrary.org/obo/FOODON_03530082>	"processed in glass container"@en
<http://purl.obolibrary.org/obo/FOODON_03308018>	"shark flake"@en
<http://purl.obolibrary.org/obo/FOODON_03308330>	"maine sardine packed in oil"@en
<http://purl.obolibrary.org/obo/FOODON_00001320>	"pak kum dong"@en
<http://purl.obolibrary.org/obo/FOODON_03305888>	"crabapple jelly"@en
<http://purl.obolibrary.org/obo/NCBITaxon_303943>	"Carcharhinus signatus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03430177>	"supplement form, unknown (deprecated)"@en
<http://purl.obolibrary.org/obo/CHEBI_48857>	"sulfite salt"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03310176>	"corn germ defatted"@en
<http://purl.obolibrary.org/obo/NCBITaxon_42892>	"Engraulis japonicus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03310817>	"cow buttermilk (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03400296>	"seafood-based sausage or luncheon meat (us cfr)"@en
<http://www.ebi.ac.uk/ancestro/ancestro_0469>	"I-Kiribati"@en
<http://purl.obolibrary.org/obo/FOODON_03317250>	"root vegetable frozen"@en
<http://purl.obolibrary.org/obo/FOODON_03315930>	"preserves of red fruits"@en
<http://purl.obolibrary.org/obo/FOODON_03303853>	"gruenland cheese"@en
<http://purl.obolibrary.org/obo/FOODON_03301407>	"quail egg (pickled)"@en
<http://purl.obolibrary.org/obo/FOODON_03510227>	"coriander and products thereof"@en
<http://purl.obolibrary.org/obo/FOODON_00001577>	"akee fruit food product"@en
<http://purl.obolibrary.org/obo/FOODON_03414417>	"chlorophylls and chlorophyllins as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03530109>	"home prepared"@en
<http://purl.obolibrary.org/obo/FOODON_03316862>	"mozzarella cheese low moisture"@en
<http://purl.obolibrary.org/obo/FOODON_03316752>	"cheese (gudbrandsdalsost)"@en
<http://purl.obolibrary.org/obo/FOODON_03302995>	"camembert cheese"@en
<http://purl.obolibrary.org/obo/NCBITaxon_662062>	"Paratrachichthys trailli"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03305764>	"green tomato juice"@en
<http://purl.obolibrary.org/obo/FOODON_03411975>	"slime flounder as food source"@en
<http://purl.obolibrary.org/obo/CHEBI_2877>	"aspartame"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_99302>	"Strychnos spinosa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_41711>	"Osmeriformes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03304629>	"wheat flour (starch-reduced)"@en
<http://purl.obolibrary.org/obo/CHEBI_36359>	"phosphorus oxoacid derivative"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03308918>	"blue runner fillet (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03308437>	"gulf sardine (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03301881>	"liver (chopped)"@en
<http://purl.obolibrary.org/obo/FOODON_03302475>	"milk and honey bread"@en
<http://purl.obolibrary.org/obo/FOODON_03302504>	"vegetable butter"@en
<http://purl.obolibrary.org/obo/FOODON_03304561>	"brown sugar replacement (granulated, artificially sweetened)"@en
<http://purl.obolibrary.org/obo/FOODON_00002248>	"sockeye salmon food product"@en
<http://purl.obolibrary.org/obo/FOODON_03301608>	"konjacu flour"@en
<http://purl.obolibrary.org/obo/CHEBI_37586>	"sodium phosphate"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_1110380>	"Polygonoideae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_171637>	"Maloideae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03510075>	"rich in fiber claim or use"@en
<http://purl.obolibrary.org/obo/FOODON_03414080>	"white skate as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03311072>	"wheat (whole grain, red winter)"@en
<http://purl.obolibrary.org/obo/FOODON_03311452>	"breakfast cereal (hot-type, instant, aspartame sweetened)"@en
<http://purl.obolibrary.org/obo/FOODON_03302950>	"maraschino cherry (artificially colored and flavored)"@en
<http://purl.obolibrary.org/obo/FOODON_03311810>	"pepperoni flavored sausage"@en
<http://purl.obolibrary.org/obo/FOODON_03302986>	"longhorn cheddar cheese (semisoft, part-skim)"@en
<http://purl.obolibrary.org/obo/FOODON_03306766>	"pie filling food product"@en
<http://purl.obolibrary.org/obo/FOODON_03304722>	"egg white (frozen)"@en
<http://purl.obolibrary.org/obo/FOODON_03413045>	"calcium malate as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03302541>	"candy corn"@en
<http://purl.obolibrary.org/obo/FOODON_00002238>	"cocos fruit product"@en
<http://purl.obolibrary.org/obo/FOODON_00001970>	"imitation nonalcoholic beverage"@en
<http://purl.obolibrary.org/obo/FOODON_03311069>	"orange juice product, not further specified"@en
<http://purl.obolibrary.org/obo/FOODON_03309645>	"starry flounder (raw)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_191678>	"Lophius budegassa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03306765>	"coconut cream pie"@en
<http://purl.obolibrary.org/obo/FOODON_03310701>	"bluefin tuna (canned)"@en
<http://purl.obolibrary.org/obo/FOODON_03530189>	"fat content >= 3.5%"@en
<http://purl.obolibrary.org/obo/FOODON_03303517>	"pasteurized process cheese food"@en
<http://purl.obolibrary.org/obo/FOODON_03303951>	"papaya preserves (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_00001042>	"bovine milk beverage"@en
<http://purl.obolibrary.org/obo/FOODON_03309016>	"albacore (solid-pack, canned)"@en
<http://purl.obolibrary.org/obo/FOODON_00001604>	"animal product sandwich category"@en
<http://purl.obolibrary.org/obo/FOODON_03305789>	"strawberries in vanilla ice cream"@en
<http://purl.obolibrary.org/obo/FOODON_03311302>	"purple plum raw"@en
<http://purl.obolibrary.org/obo/NCBITaxon_428033>	"Atheresthes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_35875>	"imidazopyrimidine"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_81641>	"Lotidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_24860>	"iodine molecular entity"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_165789>	"Capsicum annuum var. glabriusculum"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_3602>	"Vitaceae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03316630>	"dessert, powdered topping"@en
<http://purl.obolibrary.org/obo/FOODON_03400996>	"50101900 - fruit/nuts/seeds combination (gs1 gpc)"@en
<http://purl.obolibrary.org/obo/FOODON_00002271>	"squash vegetable food product"@en
<http://purl.obolibrary.org/obo/FOODON_03316270>	"milk-based product with non-fruit preparations calorie reduced"@en
<http://purl.obolibrary.org/obo/FOODON_03311305>	"cream-type pie (frozen)"@en
<http://purl.obolibrary.org/obo/FOODON_03530202>	"fat content < 50%, > 35% pufa"@en
<http://purl.obolibrary.org/obo/FOODON_03490279>	"glass container, coloured, light weight"@en
<http://purl.obolibrary.org/obo/FOODON_03301268>	"black olive (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03307557>	"sugar and invert sugar syrup"@en
<http://purl.obolibrary.org/obo/FOODON_03420255>	"organ meat, other systems"@en
<http://purl.obolibrary.org/obo/FOODON_03309655>	"job's tears (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03311642>	"fat or oil, reclaimed"@en
<http://purl.obolibrary.org/obo/FOODON_03308132>	"crayfish tail (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03309795>	"tomato catsup substitute (sweetened with honey)"@en
<http://purl.obolibrary.org/obo/FOODON_03304167>	"shortening (hydrogenated)"@en
<http://purl.obolibrary.org/obo/FOODON_03311188>	"fish cake (raw, breaded)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_8245>	"Xiphias gladius"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03307204>	"stuffing for turkey"@en
<http://purl.obolibrary.org/obo/NCBITaxon_7832>	"Echinorhinidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03411842>	"atlantic cod as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03414189>	"true senna plant as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_118175>	"Nettastomatidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03413521>	"pacific angel shark as food source"@en
<http://purl.obolibrary.org/obo/UBERON_0007010>	"cleaving embryo"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_102876>	"Eledone cirrhosa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03400904>	"10000310 - dairy/dairy substitute based drinks - not ready to drink (shelf stable) (gs1 gpc)"@en
<http://purl.obolibrary.org/obo/FOODON_03310218>	"pesto sauce (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03412151>	"queen snapper as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03460293>	"curing or aging 6 to 12 months"@en
<http://purl.obolibrary.org/obo/FOODON_03401335>	"mushroom dish (eurofir)"@en
<http://purl.obolibrary.org/obo/FOODON_03316150>	"sausage (dried, cured)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_4567>	"Triticum turgidum subsp. durum"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03305123>	"chocolate (solid, in a real egg shell)"@en
<http://purl.obolibrary.org/obo/FOODON_00001728>	"chicken soup food product"@en
<http://purl.obolibrary.org/obo/FOODON_03500013>	"beverage can enamel, carbonated soft drink"@en
<http://purl.obolibrary.org/obo/FOODON_03306457>	"mule meat (raw)"@en
<http://www.ebi.ac.uk/ancestro/ancestro_0502>	"Vietnamese"@en
<http://purl.obolibrary.org/obo/CHEBI_36360>	"phosphorus oxoacids and derivatives"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/ENVO_01000626>	"drylot"@en
<http://purl.obolibrary.org/obo/FOODON_03301607>	"konjacu tuber (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03310085>	"sweet and sour onion and raisin relish (food product)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_29019>	"Litopenaeus stylirostris"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03412531>	"duckbill flathead as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03304423>	"french dressing (low sodium, sugar-free)"@en
<http://purl.obolibrary.org/obo/FOODON_00002296>	"sweet pea vegetable food product"@en
<http://purl.obolibrary.org/obo/FOODON_03401033>	"10000029 - cheese/cheese substitutes (shelf stable) (gs1 gpc)"@en
<http://purl.obolibrary.org/obo/FOODON_03401275>	"0500 poultry products (usda sr)"@en
<http://purl.obolibrary.org/obo/FOODON_03000005>	"Indian prawn"@en
<http://purl.obolibrary.org/obo/FOODON_03412937>	"cultivated mushroom"@en
<http://purl.obolibrary.org/obo/FOODON_03490384>	"amin resin container"@en
<http://purl.obolibrary.org/obo/FOODON_00002270>	"sprat food product"@en
<http://purl.obolibrary.org/obo/FOODON_03310546>	"tea (steeped)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_83393>	"Coelorinchus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03400409>	"filtering aid (codex)"@en
<http://purl.obolibrary.org/obo/FOODON_03306819>	"field peas (canned)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_6604>	"Mya arenaria"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_00001024>	"pickled cabbage food product"@en
<http://purl.obolibrary.org/obo/NCBITaxon_13353>	"Auxis thazard"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03304024>	"pepino sauce"@en
<http://purl.obolibrary.org/obo/CHEBI_33655>	"aromatic compound"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03413613>	"pink spiny lobster as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03414063>	"biwa as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03401242>	"0610000 - tea (ec)"@en
<http://purl.obolibrary.org/obo/FOODON_03316918>	"pastilles"@en
<http://purl.obolibrary.org/obo/FOODON_03304531>	"chocolate malted milk"@en
<http://purl.obolibrary.org/obo/GAZ_00003762>	"Cuba"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_225387>	"Ophiodon elongatus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03510131>	"\"less\" label claim"@en
<http://purl.obolibrary.org/obo/FOODON_03307320>	"crab and lobster paste"@en
<http://purl.obolibrary.org/obo/FOODON_03304678>	"milk (vitamin d, homogenized)"@en
<http://purl.obolibrary.org/obo/FOODON_03306130>	"beverage base (lingonberry)"@en
<http://purl.obolibrary.org/obo/FOODON_03311818>	"white rice food product"@en
<http://purl.obolibrary.org/obo/FOODON_03306846>	"papaya drink base (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03414416>	"cellulose as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315149>	"corn syrup high fructose"@en
<http://purl.obolibrary.org/obo/FOODON_03315192>	"cheese spread pasteurized"@en
<http://purl.obolibrary.org/obo/FOODON_03302751>	"pudding (custard-flavored)"@en
<http://purl.obolibrary.org/obo/FOODON_03317349>	"poultry product (cured, comminuted)"@en
<http://purl.obolibrary.org/obo/FOODON_03307282>	"fruit syrup with alcohol"@en
<http://purl.obolibrary.org/obo/CHEBI_36309>	"cyclic tetrapyrrole"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_63409>	"pentose derivative"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03303878>	"caraway cheese"@en
<http://purl.obolibrary.org/obo/ENVO_01000417>	"house"
<http://purl.obolibrary.org/obo/FOODON_03401013>	"10000006 - vegetables - unprepared/unprocessed (shelf stable) (gs1 gpc)"@en
<http://purl.obolibrary.org/obo/FOODON_03530239>	"ichthyoallyeinotoxic poisoning"@en
<http://purl.obolibrary.org/obo/FOODON_03413077>	"dimethyl dicarbonate as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03301298>	"jordan almond"@en
<http://purl.obolibrary.org/obo/FOODON_03411581>	"fish, perciform as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_3818>	"Arachis hypogaea"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03315447>	"whale meat (fresh)"@en
<http://purl.obolibrary.org/obo/FOODON_03302086>	"vegetable (dehydrated)"@en
<http://purl.obolibrary.org/obo/GAZ_00000581>	"Eritrea"^^<http://www.w3.org/2001/XMLSchema#string>
