Concept	Preferred Term	Id
Decreased arginine diet (regime/therapy)	Decreased arginine diet	437671000124109
Increased arginine diet (regime/therapy)	Increased arginine diet	437661000124102
Gluten free diet (regime/therapy)	Gluten free diet	437651000124104
Decreased gluten diet (regime/therapy)	Decreased gluten diet	437641000124101
Decreased casein diet (regime/therapy)	Decreased casein diet	437631000124106
Valine modified diet (regime/therapy)	Valine modified diet	437621000124108
Tyrosine modified diet (regime/therapy)	Tyrosine modified diet	437611000124100
Decreased tyramine diet (regime/therapy)	Decreased tyramine diet	437601000124103
Tryptophan modified diet (regime/therapy)	Tryptophan modified diet	437591000124106
Threonine modified diet (regime/therapy)	Threonine modified diet	437581000124108
Decreased phenylalanine diet (regime/therapy)	Decreased phenylalanine diet	437571000124105
Methionine modified diet (regime/therapy)	Methionine modified diet	437561000124103
Lysine modified diet (regime/therapy)	Lysine modified diet	437551000124100
Leucine modified diet (regime/therapy)	Leucine modified diet	437541000124102
Isoleucine modified diet (regime/therapy)	Isoleucine modified diet	437531000124107
Increased homocysteine diet (regime/therapy)	Increased homocysteine diet	437521000124109
Histidine modified diet (regime/therapy)	Histidine modified diet	437511000124101
Glutamine modified diet (regime/therapy)	Glutamine modified diet	437501000124104
Arginine modified diet (regime/therapy)	Arginine modified diet	437491000124107
Amino acid modified diet (regime/therapy)	Amino acid modified diet	437481000124109
Decreased zinc diet (regime/therapy)	Decreased zinc diet	437441000124103
Increased zinc diet (regime/therapy)	Increased zinc diet	437431000124108
Decreased sodium diet (regime/therapy)	Decreased sodium diet	437421000124105
Increased sodium diet (regime/therapy)	Increased sodium diet	437411000124102
Decreased potassium diet (regime/therapy)	Decreased potassium diet	437401000124100
Increased potassium diet (regime/therapy)	Increased potassium diet	437391000124102
Decreased phosphorus diet (regime/therapy)	Decreased phosphorus diet	437381000124100
Increased phosphorus diet (regime/therapy)	Increased phosphorus diet	437371000124103
Decreased magnesium diet (regime/therapy)	Decreased magnesium diet	437361000124105
Increased magnesium diet (regime/therapy)	Increased magnesium diet	437351000124108
Decreased iron diet (regime/therapy)	Decreased iron diet	437341000124106
Increased iron diet (regime/therapy)	Increased iron diet	437331000124101
Decreased iodine diet (regime/therapy)	Decreased iodine diet	437321000124104
Increased iodine diet (regime/therapy)	Increased iodine diet	437311000124107
Decreased copper diet (regime/therapy)	Decreased copper diet	437301000124109
Increased copper diet (regime/therapy)	Increased copper diet	437291000124108
Increased chromium diet (regime/therapy)	Increased chromium diet	437281000124105
Decreased calcium diet (regime/therapy)	Decreased calcium diet	437271000124107
Increased calcium diet (regime/therapy)	Increased calcium diet	437261000124100
Zinc modified diet (regime/therapy)	Zinc modified diet	437251000124102
Sulfur modified diet (regime/therapy)	Sulfur modified diet	437241000124104
Sodium modified diet (regime/therapy)	Sodium modified diet	437231000124109
Selenium modified diet (regime/therapy)	Selenium modified diet	437221000124106
Potassium modified diet (regime/therapy)	Potassium modified diet	437211000124103
Phosphorus modified diet (regime/therapy)	Phosphorus modified diet	437201000124101
Molybdenum modified diet (regime/therapy)	Molybdenum modified diet	437191000124104
Manganese modified diet (regime/therapy)	Manganese modified diet	437181000124102
Magnesium modified diet (regime/therapy)	Magnesium modified diet	437171000124100
Iron modified diet (regime/therapy)	Iron modified diet	437161000124107
Iodine modified diet (regime/therapy)	Iodine modified diet	437151000124105
Fluoride modified diet (regime/therapy)	Fluoride modified diet	437141000124108
Copper modified diet (regime/therapy)	Copper modified diet	437131000124103
Cobalt modified diet (regime/therapy)	Cobalt modified diet	437121000124101
Chromium modified diet (regime/therapy)	Chromium modified diet	437111000124109
Chloride modified diet (regime/therapy)	Chloride modified diet	437101000124106
Calcium modified diet (regime/therapy)	Calcium modified diet	437091000124100
Boron modified diet (regime/therapy)	Boron modified diet	437081000124103
Decreased insoluble fiber diet (regime/therapy)	Decreased insoluble fiber diet	437061000124108
Increased insoluble fiber diet (regime/therapy)	Increased insoluble fiber diet	437051000124106
Decreased soluble fiber diet (regime/therapy)	Decreased soluble fiber diet	437041000124109
Increased soluble fiber diet (regime/therapy)	Increased soluble fibre diet	437031000124104
Insoluble fiber modified diet (regime/therapy)	Insoluble fiber modified diet	437021000124102
Soluble fiber modified diet (regime/therapy)	Soluble fiber modified diet	437011000124105
Decreased fiber diet (regime/therapy)	Decreased fiber diet	437001000124107
Increased fiber diet (regime/therapy)	Increased fibre diet	436991000124104
Decreased trans fat diet (regime/therapy)	Decreased trans fat diet	436961000124107
Decreased saturated fat diet (regime/therapy)	Decreased saturated fat diet	436951000124105
Decreased polyunsaturated fat diet (regime/therapy)	Decreased polyunsaturated fat diet	436941000124108
Increased polyunsaturated fat diet (regime/therapy)	Increased polyunsaturated fat diet	436931000124103
Decreased monounsaturated fat diet (regime/therapy)	Decreased monounsaturated fat diet	436921000124101
Increased monounsaturated fat diet (regime/therapy)	Increased monounsaturated fat diet	436911000124109
Trans fat modified diet (regime/therapy)	Trans fat modified diet	436901000124106
Saturated fat modified diet (regime/therapy)	Saturated fat modified diet	436891000124107
Polyunsaturated fat modified diet (regime/therapy)	Polyunsaturated fat modified diet	436881000124109
Monounsaturated fat modified diet (regime/therapy)	Monounsaturated fat modified diet	436871000124106
Decreased energy diet (regime/therapy)	Decreased energy diet	436731000124100
Increased energy diet (regime/therapy)	Increased energy diet	436721000124103
Decreased cholesterol diet (regime/therapy)	Decreased cholesterol diet	436711000124106
Decreased galactose diet (regime/therapy)	Decreased galactose diet	436701000124108
Decreased carbohydrate diet (regime/therapy)	Decreased carbohydrate diet	436691000124108
Increased carbohydrate diet (regime/therapy)	Increased carbohydrate diet	436681000124105
Decreased lactose diet (regime/therapy)	Decreased lactose diet	436671000124107
Lactose modified diet (regime/therapy)	Lactose modified diet	436661000124100
Vitamin modified diet (regime/therapy)	Vitamin modified diet	435811000124106
Texture modified diet (regime/therapy)	Texture modified diet	435801000124108
Mineral modified diet (regime/therapy)	Mineral modified diet	435781000124109
General healthful diet (regime/therapy)	General healthful diet	435771000124106
Full liquid diet (regime/therapy)	Full liquid diet	435751000124101
Clear liquid diet (regime/therapy)	Clear liquid diet	435741000124103
Liquid diet (regime/therapy)	Liquid diet	435731000124108
Fiber modified diet (regime/therapy)	Fibre modified diet	435721000124105
Energy modified diet (regime/therapy)	Energy modified diet	435701000124100
Diet modified for specific foods or ingredients (regime/therapy)	Diet modified for specific foods or ingredients	435691000124100
Dietary liquid consistency diet (regime/therapy)	Dietary liquid consistency diet	435681000124103
Cholesterol modified diet (regime/therapy)	Cholesterol modified diet	435671000124101
Galactose modified diet (regime/therapy)	Galactose modified diet	435661000124108
Consistent carbohydrate diet (regime/therapy)	Consistent carbohydrate diet	435651000124106
Carbohydrate modified diet (regime/therapy)	Carbohydrate modified diet	435581000124102
Dietary Approaches to Stop Hypertension diet (regime/therapy)	Dietary Approaches to Stop Hypertension diet	1151000175103
Decreased fat and oil diet (regime/therapy)	Decreased fat and oil diet	1055207008
Fat and oil modified diet (regime/therapy)	Fat and oil modified diet	1055204001
Increased fat and oil diet (regime/therapy)	Increased fat and oil diet	1055203007
Consistent protein and protein derivative diet (regime/therapy)	Consistent protein and protein derivative diet	1055202002
Decreased protein and protein derivative diet (regime/therapy)	Decreased protein and protein derivative diet	1055201009
Increased protein and protein derivative diet (regime/therapy)	Increased protein and protein derivative diet	1055200005
Protein and protein derivative modified diet (regime/therapy)	Protein and protein derivative modified diet	1052337007
Cardiovascular Health Integrated Lifestyle Diet (regime/therapy)	Cardiovascular Health Integrated Lifestyle Diet	870254008
Fasting (regime/therapy)	Fasting	792805006
Cantonese diet (regime/therapy)	Cantonese diet	765063003
Ketogenic diet (regime/therapy)	Ketogenic diet	765060000
Low fructose diet (regime/therapy)	Low fructose diet	765053006
Hindu diet (regime/therapy)	Hindu diet	765052001
Kosher diet (regime/therapy)	Kosher diet	765025006
Atkins diet (regime/therapy)	Atkins diet	765024005
Lacto-ovo-vegetarian diet (regime/therapy)	Lacto-ovo-vegetarian diet	765023004
Lacto-vegetarian diet (regime/therapy)	Lacto-vegetarian diet	765022009
Vegetarian diet (regime/therapy)	Vegetarian diet	765021002
Modified fluid diet (regime/therapy)	Modified fluid diet	762104002
Lactose-free diet (regime/therapy)	Lactose-free diet	425458000
Advance diet as tolerated (regime/therapy)	Advance diet as tolerated	422972009
Provision of wheat-free diet (regime/therapy)	Wheat-free diet	404919001
Diet staging (regime/therapy)	Diet staging	386261001
Nasojejunal feeding (regime/therapy)	Nasojejunal feeding	310244003
Button gastrostomy feeding (regime/therapy)	Button gastrostomy feeding	289133003
Dietary treatment for disorder (regime/therapy)	Dietary treatment for disorder	284071006
Gastrostomy feeding (regime/therapy)	Gastrostomy feeding	229917005
Esophagostomy feeding (regime/therapy)	Oesophagostomy feeding	229916001
Nasoduodenal feeding (regime/therapy)	Nasoduodenal feeding	229915002
Nasogastric feeding (regime/therapy)	Nasogastric feeding	229914003
Orogastric feeding (regime/therapy)	Orogastric feeding	229913009
Enteral feeding (regime/therapy)	Enteral feeding	229912004
Jejunostomy feeding (regime/therapy)	Jejunostomy feeding	225374008
Percutaneous endoscopic gastrostomy feeding (regime/therapy)	Percutaneous endoscopic gastrostomy feeding	225373002
Provision of a special diet (regime/therapy)	Provision of a special diet	223456000
Nasal tube feeding (regime/therapy)	Nasal tube feeding	183028005
Unsaturated fat diet - prophylaxis (regime/therapy)	Unsaturated fat diet - prophylaxis	182960008
Low protein diet - prophylaxis (regime/therapy)	Low protein diet - prophylaxis	182959003
Salt free diet - prophylaxis (regime/therapy)	Salt free diet - prophylaxis	182958006
Low salt diet - prophylaxis (regime/therapy)	Low salt diet - prophylaxis	182957001
Low calorie diet - prophylaxis (regime/therapy)	Low calorie diet - prophylaxis	182956005
Low carbohydrate diet - prophylaxis (regime/therapy)	Low carbohydrate diet - prophylaxis	182955009
Dietary prophylaxis (regime/therapy)	Dietary prophylaxis	182954008
Dietary regime (regime/therapy)	Dietary regime	182922004
Tube feeding of patient (regime/therapy)	Tube feeding of patient	61420007
Tube feeding by drip method (regime/therapy)	Tube feeding by drip method	56948003
Tube feeding by Barron pump (regime/therapy)	Tube feeding by Barron pump	50712000
Tube feeding by syringe method (regime/therapy)	Tube feeding by syringe method	38903004
